class_id,class_name,precision,recall,f1,support
0,Apple,0.5,0.8,0.6153846153846154,5
1,Avocado,1.0,1.0,1.0,1
2,Banana,1.0,1.0,1.0,1
3,Kiwi,0.0,0.0,0.0,1
4,Lemon,0.0,0.0,0.0,1
5,Lime,0.0,0.0,0.0,1
6,Mango,0.0,0.0,0.0,1
7,Melon,0.2222222222222222,0.5,0.3076923076923077,4
8,Nectarine,0.0,0.0,0.0,1
9,Orange,0.0,0.0,0.0,1
10,Papaya,0.0,0.0,0.0,1
11,Passion-Fruit,0.0,0.0,0.0,1
12,Peach,0.0,0.0,0.0,1
13,Pear,0.0,0.0,0.0,3
14,Pineapple,1.0,1.0,1.0,1
15,Plum,0.0,0.0,0.0,1
16,Pomegranate,1.0,1.0,1.0,1
17,Red-Grapefruit,0.0,0.0,0.0,1
18,Satsumas,0.0,0.0,0.0,1
19,Juice,1.0,1.0,1.0,10
20,Milk,1.0,1.0,1.0,6
21,Oatghurt,1.0,1.0,1.0,1
22,Oat-Milk,1.0,1.0,1.0,1
23,Sour-Cream,1.0,1.0,1.0,2
24,Sour-Milk,1.0,1.0,1.0,1
25,Soyghurt,1.0,1.0,1.0,2
26,Soy-Milk,1.0,1.0,1.0,2
27,Yoghurt,0.8571428571428571,1.0,0.9230769230769231,6
28,Asparagus,1.0,1.0,1.0,1
29,Aubergine,1.0,1.0,1.0,1
30,Cabbage,1.0,1.0,1.0,1
31,Carrots,1.0,1.0,1.0,1
32,Cucumber,1.0,1.0,1.0,1
33,Garlic,0.0,0.0,0.0,1
34,Ginger,1.0,1.0,1.0,1
35,Leek,1.0,1.0,1.0,1
36,Mushroom,1.0,1.0,1.0,1
37,Onion,1.0,1.0,1.0,1
38,Pepper,1.0,0.75,0.8571428571428571,4
39,Potato,0.42857142857142855,1.0,0.6,3
40,Red-Beet,0.0,0.0,0.0,1
41,Tomato,0.75,1.0,0.8571428571428571,3
42,Zucchini,1.0,1.0,1.0,1
