threshold,coverage,selective_accuracy,n_covered,n_correct_in_covered,n_rejected
0.0,1.0,0.7407407407407407,81,60,0
0.01,1.0,0.7407407407407407,81,60,0
0.02,1.0,0.7407407407407407,81,60,0
0.03,1.0,0.7407407407407407,81,60,0
0.04,1.0,0.7407407407407407,81,60,0
0.05,1.0,0.7407407407407407,81,60,0
0.06,1.0,0.7407407407407407,81,60,0
0.07,1.0,0.7407407407407407,81,60,0
0.08,1.0,0.7407407407407407,81,60,0
0.09,1.0,0.7407407407407407,81,60,0
0.1,1.0,0.7407407407407407,81,60,0
0.11,1.0,0.7407407407407407,81,60,0
0.12,1.0,0.7407407407407407,81,60,0
0.13,0.9876543209876543,0.75,80,60,1
0.14,0.9753086419753086,0.759493670886076,79,60,2
0.15,0.9753086419753086,0.759493670886076,79,60,2
0.16,0.9629629629629629,0.7692307692307693,78,60,3
0.17,0.9629629629629629,0.7692307692307693,78,60,3
0.18,0.9629629629629629,0.7692307692307693,78,60,3
0.19,0.9506172839506173,0.7792207792207793,77,60,4
0.2,0.9506172839506173,0.7792207792207793,77,60,4
0.21,0.9506172839506173,0.7792207792207793,77,60,4
0.22,0.9259259259259259,0.7866666666666666,75,59,6
0.23,0.9259259259259259,0.7866666666666666,75,59,6
0.24,0.9259259259259259,0.7866666666666666,75,59,6
0.25,0.9259259259259259,0.7866666666666666,75,59,6
0.26,0.8888888888888888,0.7916666666666666,72,57,9
0.27,0.8641975308641975,0.8,70,56,11
0.28,0.8395061728395061,0.8235294117647058,68,56,13
0.29,0.8395061728395061,0.8235294117647058,68,56,13
0.3,0.8271604938271605,0.8208955223880597,67,55,14
0.31,0.8271604938271605,0.8208955223880597,67,55,14
0.32,0.8271604938271605,0.8208955223880597,67,55,14
0.33,0.8271604938271605,0.8208955223880597,67,55,14
0.34,0.8024691358024691,0.8461538461538461,65,55,16
0.35,0.8024691358024691,0.8461538461538461,65,55,16
0.36,0.8024691358024691,0.8461538461538461,65,55,16
0.37,0.8024691358024691,0.8461538461538461,65,55,16
0.38,0.7901234567901234,0.859375,64,55,17
0.39,0.7901234567901234,0.859375,64,55,17
0.4,0.7901234567901234,0.859375,64,55,17
0.41,0.7777777777777778,0.873015873015873,63,55,18
0.42,0.7654320987654321,0.8709677419354839,62,54,19
0.43,0.7530864197530864,0.8688524590163934,61,53,20
0.44,0.7407407407407407,0.8833333333333333,60,53,21
0.45,0.7407407407407407,0.8833333333333333,60,53,21
0.46,0.7407407407407407,0.8833333333333333,60,53,21
0.47,0.7407407407407407,0.8833333333333333,60,53,21
0.48,0.7160493827160493,0.8793103448275862,58,51,23
0.49,0.7037037037037037,0.8771929824561403,57,50,24
0.5,0.691358024691358,0.875,56,49,25
0.51,0.691358024691358,0.875,56,49,25
0.52,0.691358024691358,0.875,56,49,25
0.53,0.6666666666666666,0.8888888888888888,54,48,27
0.54,0.6666666666666666,0.8888888888888888,54,48,27
0.55,0.6419753086419753,0.9038461538461539,52,47,29
0.56,0.6419753086419753,0.9038461538461539,52,47,29
0.57,0.6172839506172839,0.9,50,45,31
0.58,0.6172839506172839,0.9,50,45,31
0.59,0.6049382716049383,0.9183673469387755,49,45,32
0.6,0.5925925925925926,0.9375,48,45,33
0.61,0.5925925925925926,0.9375,48,45,33
0.62,0.5679012345679012,0.9347826086956522,46,43,35
0.63,0.5432098765432098,0.9545454545454546,44,42,37
0.64,0.5432098765432098,0.9545454545454546,44,42,37
0.65,0.5432098765432098,0.9545454545454546,44,42,37
0.66,0.5432098765432098,0.9545454545454546,44,42,37
0.67,0.5308641975308642,0.9767441860465116,43,42,38
0.68,0.5308641975308642,0.9767441860465116,43,42,38
0.69,0.5308641975308642,0.9767441860465116,43,42,38
0.7,0.5185185185185185,0.9761904761904762,42,41,39
0.71,0.5185185185185185,0.9761904761904762,42,41,39
0.72,0.5061728395061729,0.975609756097561,41,40,40
0.73,0.5061728395061729,0.975609756097561,41,40,40
0.74,0.5061728395061729,0.975609756097561,41,40,40
0.75,0.49382716049382713,0.975,40,39,41
0.76,0.49382716049382713,0.975,40,39,41
0.77,0.4691358024691358,1.0,38,38,43
0.78,0.4444444444444444,1.0,36,36,45
0.79,0.4444444444444444,1.0,36,36,45
0.8,0.43209876543209874,1.0,35,35,46
0.81,0.41975308641975306,1.0,34,34,47
0.82,0.4074074074074074,1.0,33,33,48
0.83,0.4074074074074074,1.0,33,33,48
0.84,0.37037037037037035,1.0,30,30,51
0.85,0.35802469135802467,1.0,29,29,52
0.86,0.345679012345679,1.0,28,28,53
0.87,0.345679012345679,1.0,28,28,53
0.88,0.30864197530864196,1.0,25,25,56
0.89,0.2716049382716049,1.0,22,22,59
0.9,0.24691358024691357,1.0,20,20,61
0.91,0.20987654320987653,1.0,17,17,64
0.92,0.16049382716049382,1.0,13,13,68
0.93,0.09876543209876543,1.0,8,8,73
0.94,0.07407407407407407,1.0,6,6,75
0.95,0.06172839506172839,1.0,5,5,76
0.96,0.06172839506172839,1.0,5,5,76
0.97,0.037037037037037035,1.0,3,3,78
0.98,0.012345679012345678,1.0,1,1,80
0.99,0.0,nan,0,0,81
1.0,0.0,nan,0,0,81
