class_id,class_name,precision,recall,f1,support
0,Apple,0.8,0.8,0.8,5
1,Avocado,0.0,0.0,0.0,0
2,Banana,1.0,0.5,0.6666666666666666,4
3,Kiwi,0.0,0.0,0.0,0
4,Lemon,0.0,0.0,0.0,0
5,Lime,0.0,0.0,0.0,0
6,Mango,0.0,0.0,0.0,0
7,Melon,0.0,0.0,0.0,0
8,Nectarine,0.0,0.0,0.0,0
9,Orange,0.0,0.0,0.0,0
10,Papaya,0.0,0.0,0.0,0
11,Passion-Fruit,0.0,0.0,0.0,0
12,Peach,0.0,0.0,0.0,0
13,Pear,1.0,0.3333333333333333,0.5,3
14,Pineapple,0.0,0.0,0.0,0
15,Plum,0.0,0.0,0.0,0
16,Pomegranate,0.0,0.0,0.0,0
17,Red-Grapefruit,0.0,0.0,0.0,0
18,Satsumas,0.0,0.0,0.0,0
19,Juice,0.16666666666666666,0.2,0.18181818181818182,5
20,Milk,0.0,0.0,0.0,4
21,Oatghurt,0.0,0.0,0.0,0
22,Oat-Milk,0.0,0.0,0.0,0
23,Sour-Cream,0.0,0.0,0.0,0
24,Sour-Milk,0.0,0.0,0.0,0
25,Soyghurt,0.0,0.0,0.0,0
26,Soy-Milk,0.0,0.0,0.0,0
27,Yoghurt,0.0,0.0,0.0,5
28,Asparagus,0.0,0.0,0.0,0
29,Aubergine,0.0,0.0,0.0,0
30,Cabbage,0.0,0.0,0.0,0
31,Carrots,0.0,0.0,0.0,0
32,Cucumber,0.0,0.0,0.0,0
33,Garlic,0.0,0.0,0.0,0
34,Ginger,0.0,0.0,0.0,0
35,Leek,0.0,0.0,0.0,0
36,Mushroom,0.0,0.0,0.0,0
37,Onion,0.0,0.0,0.0,0
38,Pepper,0.0,0.0,0.0,0
39,Potato,0.0,0.0,0.0,0
40,Red-Beet,0.0,0.0,0.0,0
41,Tomato,0.0,0.0,0.0,0
42,Zucchini,0.0,0.0,0.0,0
