threshold,coverage,selective_accuracy,n_covered,n_correct_in_covered,n_rejected
0.0,1.0,0.3076923076923077,26,8,0
0.01,1.0,0.3076923076923077,26,8,0
0.02,1.0,0.3076923076923077,26,8,0
0.03,1.0,0.3076923076923077,26,8,0
0.04,1.0,0.3076923076923077,26,8,0
0.05,1.0,0.3076923076923077,26,8,0
0.06,1.0,0.3076923076923077,26,8,0
0.07,1.0,0.3076923076923077,26,8,0
0.08,1.0,0.3076923076923077,26,8,0
0.09,1.0,0.3076923076923077,26,8,0
0.1,1.0,0.3076923076923077,26,8,0
0.11,1.0,0.3076923076923077,26,8,0
0.12,1.0,0.3076923076923077,26,8,0
0.13,1.0,0.3076923076923077,26,8,0
0.14,0.9615384615384616,0.32,25,8,1
0.15,0.9230769230769231,0.2916666666666667,24,7,2
0.16,0.8461538461538461,0.3181818181818182,22,7,4
0.17,0.8461538461538461,0.3181818181818182,22,7,4
0.18,0.8461538461538461,0.3181818181818182,22,7,4
0.19,0.7692307692307693,0.35,20,7,6
0.2,0.6923076923076923,0.3333333333333333,18,6,8
0.21,0.5769230769230769,0.26666666666666666,15,4,11
0.22,0.5384615384615384,0.2857142857142857,14,4,12
0.23,0.5384615384615384,0.2857142857142857,14,4,12
0.24,0.46153846153846156,0.3333333333333333,12,4,14
0.25,0.46153846153846156,0.3333333333333333,12,4,14
0.26,0.46153846153846156,0.3333333333333333,12,4,14
0.27,0.4230769230769231,0.2727272727272727,11,3,15
0.28,0.4230769230769231,0.2727272727272727,11,3,15
0.29,0.4230769230769231,0.2727272727272727,11,3,15
0.3,0.4230769230769231,0.2727272727272727,11,3,15
0.31,0.4230769230769231,0.2727272727272727,11,3,15
0.32,0.4230769230769231,0.2727272727272727,11,3,15
0.33,0.4230769230769231,0.2727272727272727,11,3,15
0.34,0.4230769230769231,0.2727272727272727,11,3,15
0.35,0.4230769230769231,0.2727272727272727,11,3,15
0.36,0.4230769230769231,0.2727272727272727,11,3,15
0.37,0.38461538461538464,0.3,10,3,16
0.38,0.38461538461538464,0.3,10,3,16
0.39,0.34615384615384615,0.3333333333333333,9,3,17
0.4,0.3076923076923077,0.375,8,3,18
0.41,0.2692307692307692,0.42857142857142855,7,3,19
0.42,0.2692307692307692,0.42857142857142855,7,3,19
0.43,0.2692307692307692,0.42857142857142855,7,3,19
0.44,0.2692307692307692,0.42857142857142855,7,3,19
0.45,0.2692307692307692,0.42857142857142855,7,3,19
0.46,0.23076923076923078,0.5,6,3,20
0.47,0.19230769230769232,0.6,5,3,21
0.48,0.19230769230769232,0.6,5,3,21
0.49,0.19230769230769232,0.6,5,3,21
0.5,0.19230769230769232,0.6,5,3,21
0.51,0.19230769230769232,0.6,5,3,21
0.52,0.19230769230769232,0.6,5,3,21
0.53,0.19230769230769232,0.6,5,3,21
0.54,0.15384615384615385,0.5,4,2,22
0.55,0.15384615384615385,0.5,4,2,22
0.56,0.15384615384615385,0.5,4,2,22
0.57,0.11538461538461539,0.3333333333333333,3,1,23
0.58,0.11538461538461539,0.3333333333333333,3,1,23
0.59,0.11538461538461539,0.3333333333333333,3,1,23
0.6,0.07692307692307693,0.0,2,0,24
0.61,0.07692307692307693,0.0,2,0,24
0.62,0.07692307692307693,0.0,2,0,24
0.63,0.07692307692307693,0.0,2,0,24
0.64,0.07692307692307693,0.0,2,0,24
0.65,0.038461538461538464,0.0,1,0,25
0.66,0.038461538461538464,0.0,1,0,25
0.67,0.038461538461538464,0.0,1,0,25
0.68,0.038461538461538464,0.0,1,0,25
0.69,0.038461538461538464,0.0,1,0,25
0.7,0.038461538461538464,0.0,1,0,25
0.71,0.038461538461538464,0.0,1,0,25
0.72,0.038461538461538464,0.0,1,0,25
0.73,0.038461538461538464,0.0,1,0,25
0.74,0.038461538461538464,0.0,1,0,25
0.75,0.038461538461538464,0.0,1,0,25
0.76,0.038461538461538464,0.0,1,0,25
0.77,0.038461538461538464,0.0,1,0,25
0.78,0.038461538461538464,0.0,1,0,25
0.79,0.038461538461538464,0.0,1,0,25
0.8,0.038461538461538464,0.0,1,0,25
0.81,0.038461538461538464,0.0,1,0,25
0.82,0.038461538461538464,0.0,1,0,25
0.83,0.038461538461538464,0.0,1,0,25
0.84,0.038461538461538464,0.0,1,0,25
0.85,0.038461538461538464,0.0,1,0,25
0.86,0.038461538461538464,0.0,1,0,25
0.87,0.038461538461538464,0.0,1,0,25
0.88,0.038461538461538464,0.0,1,0,25
0.89,0.0,nan,0,0,26
0.9,0.0,nan,0,0,26
0.91,0.0,nan,0,0,26
0.92,0.0,nan,0,0,26
0.93,0.0,nan,0,0,26
0.94,0.0,nan,0,0,26
0.95,0.0,nan,0,0,26
0.96,0.0,nan,0,0,26
0.97,0.0,nan,0,0,26
0.98,0.0,nan,0,0,26
0.99,0.0,nan,0,0,26
1.0,0.0,nan,0,0,26
